2026-05-17 23:31:48.548237 | SRC=142.251.43.78 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63351
2026-05-17 23:31:48.558538 | SRC=142.251.43.78 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63351
2026-05-17 23:31:48.570204 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.588230 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.600190 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.609988 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.624633 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.635768 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.644011 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.709474 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.719108 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.736314 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.740350 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.744126 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.749197 | SRC=142.250.205.2 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=64100
2026-05-17 23:31:48.754079 | SRC=142.250.205.2 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=64100
2026-05-17 23:31:48.759177 | SRC=142.250.205.2 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=64100
2026-05-17 23:31:48.765181 | SRC=142.250.205.2 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=64100
2026-05-17 23:31:48.770039 | SRC=142.250.205.2 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=64100
